Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Dublin Hill, Thurles, Ireland",06/21/2020 00:00:00,14.2,14.2,14.2,,,0,,,9,326,21.3,18.6,100,93.88,Overcast
"Dublin Hill, Thurles, Ireland",06/21/2020 00:05:00,14.2,14.2,14.2,,,0,,,6.2,219,17.1,,,93.47,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:10:00,13.8,13.8,13.8,,,0,,,7,230,16.9,,,92.21,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:15:00,13.6,13.6,13.6,,,0,,,8.5,228,14.6,,,92.23,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:20:00,13.6,13.6,13.6,,,0,,,8.6,233,15.4,,,92.12,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:25:00,13.8,13.8,13.8,,,0,,,7.8,226,14.6,,,92.38,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:30:00,13.7,13.7,13.7,,,0,,,8.3,270,16.6,,,91.21,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:35:00,13.8,13.8,13.8,,,0,,,7.5,233,15.9,,,91.15,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:40:00,13.6,13.6,13.6,,,0,,,7.2,245,16.3,,,90.63,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:45:00,13.5,13.5,13.5,,,0,,,6,285,14.7,,,90.69,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:50:00,13.5,13.5,13.5,,,0,,,7,282,14.2,,,90.38,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 00:55:00,13.3,13.3,13.3,,,0,,,8.2,238,14,,,90.06,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:00:00,13,13,13,,,1.08,,,8.9,258,16,14.3,90,90.32,"Rain, Overcast"
"Dublin Hill, Thurles, Ireland",06/21/2020 01:05:00,13.2,13.2,13.2,,,0,,,9.1,260,15.6,,,89.47,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:10:00,13,13,13,,,0,,,9.9,290,16.3,,,88.97,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:15:00,13,13,13,,,0,,,8.8,300,15.1,,,88.96,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:20:00,12.8,12.8,12.8,,,0,,,8,298,15.5,,,88.54,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:25:00,12.9,12.9,12.9,,,0,,,7.5,272,15.3,,,88.79,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:30:00,12.5,12.5,12.5,,,0,,,8.7,267,16.2,,,88.82,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:35:00,12.5,12.5,12.5,,,0,,,6.9,246,13,,,88.34,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:40:00,12.5,12.5,12.5,,,0,,,7.2,244,14.1,,,88.1,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:45:00,12.4,12.4,12.4,,,0,,,7.2,280,12.8,,,87.88,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:50:00,12.5,12.5,12.5,,,0,,,6.5,264,13.8,,,87.28,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 01:55:00,12.4,12.4,12.4,,,0,,,6.7,339,13.5,,,87.57,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:00:00,12.1,12.1,12.1,,,0,,,7.3,251,14,11.8,90,88.21,Overcast
"Dublin Hill, Thurles, Ireland",06/21/2020 02:05:00,12.2,12.2,12.2,,,0,,,4.7,232,11.2,,,88.2,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:10:00,12.2,12.2,12.2,,,0,,,5.2,228,11.9,,,87.88,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:15:00,12.2,12.2,12.2,,,0,,,5.6,335,11.4,,,88.49,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:20:00,12.2,12.2,12.2,,,0,,,6.2,350,12.6,,,88.29,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:25:00,12.1,12.1,12.1,,,0,,,4.9,16,10.3,,,89.23,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:30:00,11.9,11.9,11.9,,,0,,,4.2,358,11.2,,,89.18,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:35:00,12.3,12.3,12.3,,,0,,,6.3,56,11.2,,,89.8,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:40:00,12.2,12.2,12.2,,,0,,,6.6,331,13.6,,,89.42,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:45:00,12.2,12.2,12.2,,,0,,,6.5,342,12.8,,,89.66,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:50:00,12.2,12.2,12.2,,,0,,,7.6,298,11.9,,,89,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 02:55:00,12.4,12.4,12.4,,,0,,,6.7,311,11.9,,,89.27,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:00:00,11.9,11.9,11.9,,,0,,,7.4,252,13.4,10.6,60,88.41,Partially cloudy
"Dublin Hill, Thurles, Ireland",06/21/2020 03:05:00,12.4,12.4,12.4,,,0,,,5.9,281,11.6,,,89.6,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:10:00,12.3,12.3,12.3,,,0,,,7.8,271,14.1,,,89.23,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:15:00,12.3,12.3,12.3,,,0,,,7.6,20,13.7,,,89.43,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:20:00,12.3,12.3,12.3,,,0,,,8.8,10,15.7,,,89.19,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:25:00,12.4,12.4,12.4,,,0,,,8.5,282,15.4,,,89.55,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:30:00,12.1,12.1,12.1,,,0,,,8.8,274,15.8,,,89.28,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:35:00,12.4,12.4,12.4,,,0,,,7.3,30,14.3,,,89.19,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:40:00,12.3,12.3,12.3,,,0,,,7.5,8,15.2,,,88.76,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:45:00,12.3,12.3,12.3,,,0,,,6,278,12.3,,,89.21,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:50:00,12.3,12.3,12.3,,,0,,,7.3,285,14,,,88.97,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 03:55:00,12.4,12.4,12.4,,,0,,,5.6,6,13.3,,,89.19,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:00:00,12,12,12,,,0,,,7.8,360,13.5,9.9,90,89.45,Overcast
"Dublin Hill, Thurles, Ireland",06/21/2020 04:05:00,12.4,12.4,12.4,,,0,,,5.9,8,10.7,,,89.34,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:10:00,12.3,12.3,12.3,,,0,,,6.6,26,13,,,88.92,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:15:00,12.3,12.3,12.3,,,0,,,6.1,11,11.8,,,89.15,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:20:00,12.3,12.3,12.3,,,0,,,5.8,359,13.3,,,88.92,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:25:00,12.4,12.4,12.4,,,0,,,4.9,15,12.1,,,89.29,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:30:00,12.1,12.1,12.1,,,0,,,6.2,1,14,,,89.59,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:35:00,12.7,12.7,12.7,,,0,,,5.6,28,13.7,,,89.74,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:40:00,12.4,12.4,12.4,,,0,,,6.8,4,14.4,,,88.84,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:45:00,12.6,12.6,12.6,,,0,,,7.8,28,13,,,88.93,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:50:00,12.4,12.4,12.4,,,0,,,7.9,11,14.2,,,88.43,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 04:55:00,12.6,12.6,12.6,,,0,,,7.4,26,12.4,,,88.6,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:00:00,12.2,12.2,12.2,,,0,,,8,259,14.3,9.3,60,88.05,Partially cloudy
"Dublin Hill, Thurles, Ireland",06/21/2020 05:05:00,12.6,12.6,12.6,,,0,,,8.6,22,13.8,,,88.49,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:10:00,12.5,12.5,12.5,,,0,,,8.7,3,14.2,,,88.03,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:15:00,12.5,12.5,12.5,,,0,,,8,286,13.2,,,88.39,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:20:00,12.5,12.5,12.5,,,0,,,8.1,10,15.1,,,88.24,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:25:00,12.5,12.5,12.5,,,0,,,8.6,292,13.5,,,88.99,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:30:00,12.2,12.2,12.2,,,0,,,8,283,13.7,,,88.86,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:35:00,12.4,12.4,12.4,,,0,,,7.3,288,13.1,,,88.77,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:40:00,12.3,12.3,12.3,,,0,,,7.2,286,15.3,,,88.66,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:45:00,12.3,12.3,12.3,,,0,,,7.3,296,13.6,,,88.94,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:50:00,12.3,12.3,12.3,,,0,,,7.4,274,15.1,,,88.53,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 05:55:00,12.2,12.2,12.2,,,0,,,6.9,34,14.1,,,89.46,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:00:00,12.2,12.2,12.2,,,0,,,9,262,13.2,8.7,100,88.82,Overcast
"Dublin Hill, Thurles, Ireland",06/21/2020 06:05:00,12.6,12.6,12.6,,,0,,,7.3,293,11.6,,,88.65,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:10:00,12.5,12.5,12.5,,,0,,,8.3,283,12.5,,,88.36,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:15:00,12.5,12.5,12.5,,,0,,,8.2,287,12.2,,,88.35,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:20:00,12.5,12.5,12.5,,,0,,,8.8,11,13.2,,,88.36,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:25:00,12.6,12.6,12.6,,,0,,,8,300,12.4,,,88.82,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:30:00,12.7,12.7,12.7,,,0,,,7.7,278,14.6,,,88.92,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:35:00,12.9,12.9,12.9,,,0,,,8.7,291,13.8,,,88.27,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:40:00,12.9,12.9,12.9,,,0,,,9.8,294,15.3,,,87.68,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:45:00,12.9,12.9,12.9,,,0,,,9.2,263,14.4,,,87.7,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:50:00,12.9,12.9,12.9,,,0,,,9.2,235,14.9,,,87.46,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 06:55:00,12.8,12.8,12.8,,,0,,,9.1,244,12.8,,,87.93,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:00:00,12.6,12.6,12.6,,,0,,,9.6,229,14.5,5,90,88.78,Overcast
"Dublin Hill, Thurles, Ireland",06/21/2020 07:05:00,13,13,13,,,0,,,9.7,266,16.1,,,88.82,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:10:00,12.9,12.9,12.9,,,0,,,9.4,241,15.9,,,88.14,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:15:00,13.1,13.1,13.1,,,0,,,10.2,241,13.7,,,88.45,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:20:00,13.2,13.2,13.2,,,0,,,10.5,314,14.6,,,88.04,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:25:00,13.3,13.3,13.3,,,0,,,10.2,239,16.2,,,87.71,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:30:00,13.1,13.1,13.1,,,0,,,10.1,238,17.9,,,87.29,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:35:00,13.4,13.4,13.4,,,0,,,8.9,242,14.6,,,87.21,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:40:00,13.2,13.2,13.2,,,0,,,9.3,234,18.8,,,87.11,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:45:00,13.3,13.3,13.3,,,0,,,10.1,231,17.6,,,86.75,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:50:00,13.3,13.3,13.3,,,0,,,9.9,243,18.6,,,86.93,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 07:55:00,13.4,13.4,13.4,,,0.08,,,10.5,281,21.4,,,87.46,Rain
"Dublin Hill, Thurles, Ireland",06/21/2020 08:00:00,13.3,13.3,13.3,,,0,,,10,279,23,8.7,90,88.02,Overcast
"Dublin Hill, Thurles, Ireland",06/21/2020 08:05:00,13.4,13.4,13.4,,,0,,,11,298,18,,,87.99,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 08:10:00,13.3,13.3,13.3,,,0,,,11.1,297,18.1,,,87.53,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 08:15:00,13.4,13.4,13.4,,,0,,,9.7,284,14.5,,,87.76,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 08:20:00,13.4,13.4,13.4,,,0,,,9.9,344,15.7,,,87.6,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 08:25:00,13.7,13.7,13.7,,,0,,,9,268,14.5,,,87.59,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 08:30:00,13.6,13.6,13.6,,,0,,,11,255,16.8,,,87.32,Clear
"Dublin Hill, Thurles, Ireland",06/21/2020 08:35:00,13.5,13.5,13.5,,,0.15,,,8,260,14.4,,,87.12,Rain
"Dublin Hill, Thurles, Ireland",06/21/2020 08:40:00,13.6,13.6,13.6,,,0,,,8.7,248,19,,,86.05,Clear
