Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Dublin Hill, Thurles, Ireland",01/01/2020 00:00:00,6.6,6.6,6.6,5.8,,0,,,3.5,67,5.5,7.6,97.4,84.47,Overcast
"Dublin Hill, Thurles, Ireland",01/01/2020 00:05:00,6.3,6.3,6.3,,,0,,,2.8,44,4.6,,,84.14,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:10:00,6.3,6.3,6.3,,,0,,,2.3,44,2.8,,,84.51,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:15:00,6.3,6.3,6.3,,,0,,,1.9,44,2.8,,,84.73,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:20:00,6.3,6.3,6.3,,,0,,,1.9,44,2.4,,,84.73,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:25:00,6.3,6.3,6.3,,,0,,,1.5,44,1.8,,,84.73,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:30:00,6.3,6.3,6.3,,,0,,,1.7,44,1.9,3.7,88,85.56,Overcast
"Dublin Hill, Thurles, Ireland",01/01/2020 00:35:00,6.1,6.1,6.1,,,0,,,1.4,45,1.8,,,85.54,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:40:00,6.1,6.1,6.1,,,0,,,1.4,45,2.4,,,85.39,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:45:00,6.1,6.1,6.1,,,0,,,1.5,45,2.4,,,85.62,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:50:00,6.1,6.1,6.1,,,0,,,1.9,45,2.4,,,85.62,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 00:55:00,6.1,6.1,6.1,,,0,,,1.7,45,2.4,,,86.08,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:00:00,6.2,6.2,6.2,,,0,,,2.8,64,1.7,6.5,97.4,85.48,Overcast
"Dublin Hill, Thurles, Ireland",01/01/2020 01:05:00,6.1,6.1,6.1,,,0,,,1.3,42,3.2,,,86.23,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:10:00,6.1,6.1,6.1,,,0,,,2.2,47,4.4,,,86.69,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:15:00,5.9,5.9,5.9,,,0,,,2.6,47,4.8,,,87.13,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:20:00,5.9,5.9,5.9,5.1,,0,,,3.1,50,5.2,,,87.51,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:25:00,5.9,5.9,5.9,,,0,,,1.9,46,4,,,87.51,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:30:00,5.7,5.7,5.7,,,0,,,1.3,46,3.6,3.1,88,87.31,Overcast
"Dublin Hill, Thurles, Ireland",01/01/2020 01:35:00,5.7,5.7,5.7,,,0,,,1.1,46,3.3,,,87.37,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:40:00,5.7,5.7,5.7,,,0,,,0.9,46,2.2,,,87.37,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:45:00,5.7,5.7,5.7,,,0,,,1.2,55,3.2,,,87.3,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:50:00,5.5,5.5,5.5,,,0,,,1.2,51,3.5,,,87.28,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 01:55:00,5.3,5.3,5.3,,,0,,,0.9,51,3.1,,,87.45,Clear
"Dublin Hill, Thurles, Ireland",01/01/2020 02:00:00,5.3,5.3,5.3,,,0,,,2.1,71,3.3,6.2,89.6,86.93,Overcast
