Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Dublin Hill, Thurles, Ireland",09/15/2020 00:00:00,16.3,16.3,16.3,,,0,,,6.5,130,6.5,18.6,90,88.07,Overcast
"Dublin Hill, Thurles, Ireland",09/15/2020 00:05:00,16.1,16.1,16.1,,,0,,,4.3,131,6.5,,,88.86,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:10:00,16,16,16,,,0,,,4.8,129,6.8,,,88.85,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:15:00,16,16,16,,,0,,,4.5,132,6.8,,,88.85,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:20:00,15.9,15.9,15.9,,,0,,,4.1,130,5.9,,,88.91,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:25:00,15.9,15.9,15.9,,,0,,,3.5,131,5.7,,,88.91,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:30:00,16,16,16,,,0,,,3.5,130,5.6,,,88.86,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:35:00,16,16,16,,,0,,,3.5,131,5.8,,,88.77,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:40:00,16.2,16.2,16.2,,,0,,,3,136,5.8,,,88.39,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:45:00,16.2,16.2,16.2,,,0,,,2.9,138,5.6,,,88.44,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:50:00,16.2,16.2,16.2,,,0,,,2.9,139,6.1,,,88.56,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 00:55:00,16.2,16.2,16.2,,,0,,,3.6,22,7.5,,,88.17,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:00:00,16.3,16.3,16.3,,,0.34,,,4.9,38,7.9,14.3,90,87.63,"Rain, Overcast"
"Dublin Hill, Thurles, Ireland",09/15/2020 01:05:00,16.2,16.2,16.2,,,0,,,4.6,145,8.5,,,88.53,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:10:00,16.2,16.2,16.2,,,0,,,4.7,142,9.2,,,88.53,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:15:00,16.2,16.2,16.2,,,0,,,4.4,140,9.3,,,88.53,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:20:00,16.2,16.2,16.2,,,0,,,5.2,50,9,,,88.65,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:25:00,16.2,16.2,16.2,,,0,,,5.2,129,9.4,,,88.33,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:30:00,16.4,16.4,16.4,,,0,,,4.5,147,9.1,,,88.09,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:35:00,16.4,16.4,16.4,,,0,,,5.1,149,8.1,,,88.51,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:40:00,16.4,16.4,16.4,,,0,,,3.7,141,8.7,,,88.51,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:45:00,16.3,16.3,16.3,,,0,,,4.5,136,9.9,,,88.51,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:50:00,16.3,16.3,16.3,,,0,,,4.7,134,9.8,,,88.64,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 01:55:00,16.3,16.3,16.3,,,0,,,5.9,131,10.3,,,88.44,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 02:00:00,16.3,16.3,16.3,,,0,,,6.1,139,10.5,11.2,90,88.11,Overcast
"Dublin Hill, Thurles, Ireland",09/15/2020 02:05:00,16.3,16.3,16.3,,,0,,,5.4,127,10.1,,,88.49,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 02:10:00,16.3,16.3,16.3,,,0,,,5.7,87,9.8,,,88.36,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 02:15:00,16.3,16.3,16.3,,,0,,,5.3,80,10.3,,,88.49,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 02:20:00,16.3,16.3,16.3,,,0,,,5.4,94,10.5,,,88.55,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 02:25:00,16.3,16.3,16.3,,,0,,,5.9,93,10.4,,,88.55,Clear
"Dublin Hill, Thurles, Ireland",09/15/2020 02:30:00,16.3,16.3,16.3,,,0,,,6.1,351,9.5,,,87.81,Clear
