address,station_id,latitude,longitude,name,rf_mae,rf_mse,rf_rmse,rf_r2,rf_accuracy,15m_mae,15m_mse,15m_rmse,15m_r2,30m_mae,30m_mse,30m_rmse,30m_r2,45m_mae,45m_mse,45m_rmse,45m_r2,60m_mae,60m_mse,60m_rmse,60m_r2,90m_mae,90m_mse,90m_rmse,90m_r2,120m_mae,120m_mse,120m_rmse,120m_r2
Earlsfort Terrace,11,53.334019,-6.258371,EARLSFORT TERRACE,0.15570045400000002,0.48340249,0.695271522,0.983566381,0.896784232,0.1349497014202589,0.2049472833467053,0.452711037359048,0.974050475612636,0.2315483732515059,0.39397821636553176,0.6276768407114698,0.9499001267428924,0.32493991694512153,0.5618281901917785,0.7495519929876636,0.928242195232234,0.4109559131557029,0.7899476605555026,0.8887899980059983,0.8986579774073927,0.5387410100895079,1.224307459105938,1.1064842787432354,0.8415077563338649,0.6462356823509521,1.6510804421259049,1.2849437505688353,0.7842678021547259
Eccles Street,12,53.359245,-6.269779,ECCLES STREET,0.35679984200000003,0.999851478,0.999925736,0.950211902,0.7717461259999999,0.5830976853705423,1.3453501290937635,1.1598922920227392,0.8857975630577813,0.9720883165843563,2.771484263202897,1.664777541656211,0.7648635605256278,1.284192135536387,4.12669956323367,2.0314279616155897,0.6500717615026557,1.5543996194259853,5.505045072940671,2.3462832465285755,0.5334407625223264,1.9893171811999573,7.8385734034628465,2.7997452390285167,0.33636999006801394,2.2763978619185767,9.310429049176298,3.0512995672624963,0.2125798100342351
Fitzwilliam Square West,13,53.336075,-6.252825,FITZWILLIAM SQUARE WEST,0.190134415,0.515267563,0.7178213999999999,0.979115451,0.8697692109999999,0.2500799007131805,0.3944548521785298,0.6280564084367979,0.969496424122087,0.4502323952810205,0.8650686414569865,0.9300906630307534,0.9329330400205652,0.6183221701417437,1.3723155906065576,1.1714587447309264,0.8933330510916286,0.7600312269013817,1.9481218416546169,1.3957513538071946,0.8481820153767881,0.9930068551855408,2.993467697083164,1.7301640665217748,0.7654771730977088,1.2358842285852665,4.19621211803985,2.0484657961605923,0.6694574711469679
Fownes Street Upper,14,53.344604,-6.263371,FOWNES STREET UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardwicke Street,15,53.355473,-6.264423000000002,HARDWICKE STREET,0.239936337,0.5394955929999999,0.734503637,0.967742443,0.830166503,0.4256799666978204,1.0307550206684089,1.0152610603526606,0.924959940709166,0.7460393060501057,2.142838723267298,1.463843817921604,0.8436593073165078,1.0273498716665208,3.3119007810895216,1.8198628467798117,0.7578323987407514,1.2721902064080466,4.451254090647728,2.1097995380243417,0.6737963804419969,1.6818057550837844,6.779519018739508,2.603750951750092,0.5009136435551067,2.013300177398424,8.803797078798471,2.967119323316552,0.3488738999141989
Georges Quay,16,53.34750699999999,-6.252192,GEORGES QUAY,0.264062271,0.748910755,0.8653963,0.971674877,0.826626524,0.3644694277619962,0.488569053546517,0.6989771480860566,0.9808423346008224,0.5979711271341821,0.9903119058259476,0.9951441633381304,0.9611965827196204,0.7993430662094533,1.5718031406349862,1.2537157335835691,0.9384570766079536,0.9753359038374548,2.1077843569664063,1.4518210485340146,0.9175313655601148,1.262171193209989,3.1229078333733646,1.7671750998057223,0.8779917710158875,1.5398900309772603,4.291388741451923,2.0715667359397147,0.8325836403038726
Golden Lane,17,53.340801,-6.267732,GOLDEN LANE,0.305276812,0.645968966,0.8037219459999999,0.967192219,0.782123452,0.48992259325225,0.8493857164388526,0.921621243482838,0.8905893895992437,0.7557021890301628,1.5684880652098416,1.2523929356275696,0.7979077550263759,0.920737404070017,2.0792761518062632,1.441969539139528,0.7320226932789655,1.0513182098061806,2.6567957372042597,1.629968017233547,0.6574965606348719,1.3106831507729608,3.8870149357141335,1.971551403264478,0.4986101798395646,1.4993720475719865,4.939057535646491,2.222399049596289,0.36251434794924575
Grantham Street,18,53.334122,-6.265436,GRANTHAM STREET,0.581165049,1.902718447,1.379390607,0.964670492,0.663834951,0.7089252726503498,1.4025780950598117,1.18430489953382,0.8847247620853742,1.0601207560489143,2.7650669069799148,1.662849033129561,0.7730975839258264,1.2931556288596089,3.9307571675475983,1.982613721214397,0.6779426841428213,1.4707108430713725,4.981681417547391,2.231968059257881,0.5924739664326348,1.7735801719183812,6.995726280306475,2.644943530646066,0.4295021218248476,2.0945434296331458,8.991838478790331,2.9986394379435373,0.2690167884270509
Herbert Place,19,53.334431,-6.245575,HERBERT PLACE,0.713328623,2.713231174,1.64718887,0.953183988,0.626257705,0.8426447576932286,2.0228192319754705,1.4222584968898837,0.9606572337052166,1.300204135574453,4.081285424026844,2.020219152475009,0.9205780202844108,1.6607909112323052,6.260704116595746,2.5021399074783455,0.8780990003751632,1.9844276714032203,8.754336964926354,2.9587728816058787,0.8294498252904807,2.5717374636614894,13.829957750254072,3.7188651158994825,0.7302552346626439,3.0642318305520435,18.984347463879786,4.357103104573012,0.6292769408776511
Leinster Street South,21,53.342178,-6.254485,LEINSTER STREET SOUTH,0.479984311,2.005147942,1.416032465,0.966782956,0.7435834579999999,0.6536060429855052,2.786551594199226,1.6692967364130402,0.9217865484231202,1.127892709362108,6.1274548858677855,2.4753696463089683,0.8281485780488262,1.536086666710211,9.482804716209454,3.0794162947236368,0.7342526232497704,1.9447187752211017,12.77644282308916,3.5744150322939783,0.6422317129076516,2.658347441017767,19.083781304256956,4.36849874719645,0.4664472433311003,3.2193552495687743,24.40394516145892,4.940034935246807,0.3187660759427614
